Node	1	2	3	4	5	6	7	8	9
16972	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16973	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16974	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16975	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16976	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16977	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16978	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16979	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16980	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16981	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16982	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16983	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16984	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16985	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16986	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16987	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16988	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16989	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16990	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
